,Name,Team,Comp,avg_goal,w_percentage,l_percentage,Min_sd,Gls_sd,Ast_sd,PK_sd,PKatt_sd,Sh_sd,SoT_sd,CrdY_sd,CrdR_sd,Fls_sd,Fld_sd,Off_sd,Crs_sd,TklW_sd,Int_sd,OG_sd,Min_n,Gls_n,Ast_n,PK_n,PKatt_n,CrdY_n,CrdR_n,Sh_n,SoT_n,Fls_n,Fld_n,Off_n,Crs_n,Int_n,TklW_n,OG_n,competition,position,min_norm,group_min
221,Iván Rivas,Rionegro,1,0.226,0.387,0.29,34.54,0.475,0.242,0.242,0.242,1.414,0.75,0.242,0.0,0.926,1.023,0.592,0.363,0.609,0.744,0.0,0.31,0.0,0.0,0.0,0.0,0.524,0.427,0.596,0.0,0.29,0.335,0.0,0.733,0.313,0.243,1e-05,14,M,0.169,4
222,Alexis Hinestroza,Rionegro,1,-0.574,0.277,0.511,23.006,0.0,0.0,0.0,0.0,0.614,0.356,0.457,0.0,1.545,0.862,0.144,0.334,0.914,1.04,0.0,2.21,0.0,0.0,0.0,0.0,0.911,1.043,4.293,0.0,2.844,1.098,0.41,0.185,1.99,2.468,1e-05,16,M,0.154,4
223,Camilo Ayala,Rionegro,1,0.242,0.364,0.242,21.236,0.0,0.0,0.0,0.0,0.555,0.235,0.456,0.169,1.415,0.937,0.169,0.567,1.22,1.375,0.0,1.717,0.0,0.0,1e-05,1e-05,0.681,0.382,1.492,2.6,2.194,0.822,0.0,0.305,2.438,2.575,1e-05,13,M,1.0,1
224,Humberto Osorio,Rionegro,1,0.7,0.4,0.1,22.531,0.0,0.0,0.0,0.0,0.49,0.4,0.4,0.0,0.98,1.0,0.3,0.0,0.458,0.64,0.0,0.344,0.0,0.0,0.0,0.0,0.312,0.289,0.867,0.0,0.525,0.578,0.232,0.0,0.306,0.722,1e-05,13,A,0.701,1
225,Carlos Andrés Ramírez,Rionegro,1,0.26,0.44,0.3,16.663,0.137,0.295,0.0,0.0,1.193,0.508,0.453,0.137,0.799,0.635,0.0,2.97,0.849,1.531,0.137,0.554,2.25,0.0,1e-05,1e-05,1.973,2.7,0.766,2.25,0.517,0.342,0.0,0.938,0.373,0.551,0.0,9,D,0.564,2
226,Jhonny Alexander Vásquez,Rionegro,1,0.042,0.375,0.292,34.492,0.0,0.2,0.0,0.0,0.577,0.276,0.576,0.2,1.825,1.207,0.276,0.829,0.799,1.079,0.0,0.955,0.0,0.0,1e-05,1e-05,0.624,0.382,2.77,2.6,1.381,0.94,1.3,0.305,1.0,1.57,1e-05,13,M,0.437,2
227,Omar Vásquez,Rionegro,1,-0.263,0.211,0.368,25.837,0.158,0.303,0.158,0.158,1.15,0.562,0.361,0.0,1.097,1.63,0.221,2.685,0.911,0.827,0.0,1.793,0.531,4.0,2.125,1.889,2.095,1.821,1.789,0.0,1.917,3.409,0.708,4.04,2.383,1.517,1e-05,17,AM,0.374,2
228,Edison Toloza,Rionegro,1,0.0,0.316,0.404,25.356,0.487,0.347,0.0,0.0,1.769,1.041,0.347,0.131,1.081,0.913,0.899,3.915,0.449,0.541,0.0,0.658,1.412,0.6,0.0,0.0,1.28,1.444,0.212,0.0,0.418,0.315,2.069,2.0,0.058,0.307,1e-05,18,AM,0.304,3
229,Daniel Lloreda,Rionegro,1,2.5,1.0,0.0,18.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.5,0.0,0.5,1.0,0.5,1.0,0.0,0.302,0.0,0.778,0.0,0.0,0.372,0.0,0.618,0.0,0.252,0.676,0.0,0.185,0.717,0.072,1e-05,21,M,0.208,3
230,Daniel Quiñones,Pasto,1,0.421,0.316,0.211,31.295,0.0,0.0,0.0,0.0,0.44,0.0,0.223,0.0,0.95,0.591,0.0,1.758,0.832,1.257,0.0,0.317,0.0,0.0,1e-05,1e-05,0.267,0.0,0.0,0.0,0.378,0.353,0.0,0.636,0.606,0.302,1e-05,8,D,0.501,1
231,David Alejandro Gómez,Pasto,1,0.158,0.316,0.158,6.538,0.0,0.218,0.0,0.0,0.943,0.433,0.49,0.0,1.005,0.889,0.0,2.844,0.735,0.865,0.0,1.467,0.0,1.75,1e-05,1e-05,2.136,1.842,1.69,0.0,1.336,1.951,0.0,3.204,0.742,0.926,1e-05,7,D,0.222,3
232,Yhormar Hurtado,Pasto,1,0.259,0.407,0.333,4.917,0.262,0.0,0.0,0.0,1.04,0.474,0.532,0.262,0.981,0.813,0.388,2.47,1.208,1.397,0.0,0.837,1.778,0.0,0.0,0.0,1.351,1.185,0.552,4.0,0.477,1.209,2.0,1.389,0.957,0.766,0.0,8,D,0.371,2
233,Juan Moreno,Pasto,1,0.8,0.6,0.4,26.081,0.0,0.0,0.0,0.0,0.8,0.4,0.4,0.0,0.8,0.8,0.0,1.855,0.632,0.0,0.0,0.381,0.84,0.0,0.0,0.0,0.711,0.977,0.0,0.0,0.216,0.506,0.7,0.0,0.127,0.0,0.0,21,DM,0.143,4
234,Jaime Giraldo,Pasto,1,0.0,0.375,0.5,32.802,0.0,0.0,0.0,0.0,0.707,0.484,0.242,0.0,1.495,0.464,0.0,1.458,1.218,1.536,0.0,0.659,0.0,1e-05,0.0,0.0,0.606,1.067,0.615,1e-05,1.038,0.232,0.0,0.896,1.095,0.851,0.0,8,D,0.138,4
235,Jerson Malagón,Pasto,1,-0.312,0.25,0.438,0.0,0.0,0.0,0.0,0.0,0.484,0.242,0.464,0.0,0.747,0.39,0.242,0.331,0.75,1.031,0.0,0.217,0.0,0.0,1e-05,1e-05,0.218,0.0,0.0,0.0,0.335,0.056,0.0,0.0,0.211,0.262,0.0,12,D,1.0,1
236,Jeison Medina,Pasto,1,-0.16,0.36,0.4,30.425,0.4,0.0,0.0,0.0,1.155,0.48,0.271,0.0,0.786,1.286,0.697,0.546,0.4,0.271,0.0,0.536,0.973,0.0,0.0,0.0,0.594,0.47,0.281,0.0,0.585,0.719,1.08,0.177,0.391,0.36,1e-05,9,A,0.522,2
237,Cristián Marcelo Álvarez,Pasto,1,0.296,0.444,0.296,28.97,0.314,0.262,0.0,0.0,1.165,0.687,0.355,0.189,0.816,1.177,0.262,1.925,0.786,0.355,0.0,0.831,1.556,1.217,0.0,0.0,1.265,1.896,0.724,3.5,0.607,1.143,1.167,1.413,0.879,0.276,1e-05,14,M,0.375,3
238,Feiver Mercado,Pasto,1,0.244,0.415,0.317,29.098,0.469,0.327,0.154,0.154,1.611,0.724,0.327,0.0,1.115,1.201,0.469,1.754,0.747,0.327,0.0,1.3,2.333,1.556,4.667,3.5,2.239,1.9,0.8,0.0,1.14,1.526,2.579,1.698,0.537,0.303,1e-05,14,AM,0.382,4
239,Ray Vanegas,Pasto,1,-0.208,0.333,0.417,22.61,0.471,0.276,0.0,0.0,1.201,0.764,0.373,0.2,1.353,0.912,0.764,1.594,0.576,0.52,0.0,1.105,1.953,1.5,0.0,0.0,1.458,1.593,1.254,0.0,2.155,1.42,4.755,1.489,0.968,0.754,1e-05,21,AM,0.434,2
240,Jown Cardona,Pasto,1,0.579,0.368,0.263,26.406,0.223,0.223,0.223,0.223,0.595,0.408,0.365,0.223,1.039,1.196,0.0,2.403,0.985,0.809,0.0,0.307,0.0,0.0,0.0,0.0,0.326,0.213,0.755,0.0,0.38,0.361,0.0,0.75,0.55,0.402,0.0,19,M,0.246,2
241,Franco Bolo,Pasto,1,1.333,0.667,0.333,27.805,0.373,0.373,0.0,0.0,1.7,1.106,0.373,0.0,0.687,0.745,0.373,1.155,0.471,0.373,0.0,0.437,0.0,0.0,0.0,0.0,0.716,0.695,0.0,0.0,0.65,0.811,0.0,0.393,0.396,0.403,1e-05,18,M,0.182,3
242,Daniel Alejandro Hernández,Pasto,1,-0.643,0.214,0.571,30.07,0.258,0.35,0.0,0.0,1.069,0.61,0.258,0.0,0.732,0.627,0.258,1.45,0.41,0.35,0.0,0.373,0.0,0.789,0.0,0.0,0.337,0.233,0.0,0.0,0.199,0.199,0.273,0.499,0.085,0.087,0.0,15,AM,0.156,3
243,Nicolás Carreño,Pasto,1,-1.667,0.333,0.667,31.281,0.0,0.0,0.0,0.0,0.745,0.0,0.0,0.0,1.106,1.067,0.0,0.471,0.745,1.795,0.0,0.237,0.0,0.0,0.0,0.0,0.537,0.0,0.0,0.0,0.153,0.346,0.0,0.117,0.202,0.424,0.0,9,D,0.15,3
244,Cristian Florez,Pasto,1,-0.286,0.314,0.514,10.307,0.28,0.232,0.0,0.0,0.956,0.377,0.4,0.167,1.156,0.69,0.318,2.402,0.854,1.556,0.0,1.138,3.5,0.0,1e-05,1e-05,2.8,1.75,0.854,0.0,1.414,0.86,2.1,1.0,1.238,1.322,0.0,7,D,0.164,4
245,Víctor Giraldo,Pasto,1,-0.032,0.323,0.387,35.16,0.0,0.177,0.0,0.0,0.59,0.177,0.467,0.0,1.07,1.05,0.0,1.881,1.008,1.088,0.0,0.93,0.0,0.0,1e-05,1e-05,0.667,0.5,1.304,0.0,0.909,0.886,0.0,2.564,0.833,0.73,1e-05,10,D,0.145,4
246,César Amaya,Pasto,1,-0.079,0.395,0.368,26.015,0.27,0.16,0.0,0.0,1.159,0.603,0.483,0.16,1.259,1.465,0.27,0.976,0.752,0.425,0.0,1.101,0.977,0.75,0.0,0.0,1.342,1.159,1.254,0.0,2.279,2.011,1.189,0.77,1.355,0.88,1e-05,21,AM,0.105,4
247,Dario Rodríguez Parra,Pasto,1,-0.625,0.125,0.5,2.315,0.0,0.0,0.0,0.331,0.927,0.331,0.331,0.0,0.707,1.798,0.484,0.331,0.661,0.661,0.0,0.602,0.0,0.0,0.0,1.8,0.348,0.148,0.295,0.0,0.209,0.667,0.9,0.049,0.153,0.149,1e-05,18,AM,0.772,1
248,Julián Guillermo,Pasto,1,-0.444,0.222,0.5,31.658,0.0,0.0,0.0,0.0,0.687,0.314,0.601,0.229,1.912,0.957,0.229,0.0,1.802,1.048,0.0,0.919,0.0,0.0,0.0,0.0,0.569,0.479,2.068,4.25,1.666,0.41,0.85,0.0,2.224,1.162,1e-05,17,M,0.517,1
249,Arnol Palacios,Pasto,1,-0.118,0.353,0.353,33.286,0.0,0.381,0.0,0.0,1.15,0.0,0.0,0.0,0.606,1.554,0.0,1.933,1.248,1.434,0.0,0.337,0.0,2.0,1e-05,1e-05,0.713,0.0,0.0,0.0,0.202,0.624,0.0,0.881,0.392,0.201,0.0,8,D,0.376,2
250,Luis Carlos Arias,Pasto,1,0.125,0.438,0.375,26.633,0.242,0.242,0.0,0.0,1.146,0.609,0.363,0.0,1.015,1.215,0.483,1.83,1.275,1.578,0.0,1.242,0.532,1.667,0.0,0.0,1.671,1.645,0.658,0.0,1.217,1.409,2.206,1.691,1.399,0.998,0.0,25,DM,0.335,2
251,Jimmy Valoyes,Pasto,1,-0.444,0.389,0.444,13.515,0.0,0.0,0.0,0.0,0.416,0.229,0.373,0.0,1.193,1.213,0.0,0.314,0.809,1.978,0.0,1.227,0.0,0.0,1e-05,1e-05,0.51,0.406,0.709,0.0,1.465,1.319,0.0,0.131,0.904,1.397,0.0,13,D,0.357,2
252,Michael Ortega,Pasto,1,-0.586,0.241,0.483,18.989,0.46,0.182,0.182,0.182,1.262,0.854,0.345,0.0,0.663,1.928,0.253,2.219,0.611,0.762,0.0,1.978,4.722,1.417,4.25,3.4,3.097,3.831,0.919,0.0,1.127,3.601,1.7,3.144,0.874,1.308,1e-05,17,M,0.265,3
253,Sebastián Villota,Pasto,1,-0.098,0.39,0.39,27.486,0.258,0.213,0.0,0.0,0.874,0.61,0.373,0.0,0.917,1.841,0.258,2.319,1.029,0.465,0.0,0.715,0.381,0.0,0.0,0.0,0.558,0.848,0.889,0.0,0.535,1.471,0.222,1.33,0.44,0.644,1e-05,16,AM,0.274,3
254,Yoiver González,Once Caldas,1,-0.062,0.375,0.438,27.826,0.0,0.0,0.0,0.0,0.527,0.0,0.331,0.242,0.791,0.829,0.242,0.331,0.682,1.58,0.0,1.075,0.0,0.0,1e-05,1e-05,0.393,0.0,0.727,4.0,1.231,0.941,1.0,0.086,0.989,1.343,1e-05,8,D,0.821,1
255,Juan David Pérez,Once Caldas,1,0.087,0.304,0.304,24.45,0.282,0.0,0.0,0.0,1.197,0.529,0.0,0.0,0.773,0.712,0.621,1.061,0.282,0.379,0.0,0.644,0.389,0.0,0.0,0.0,0.632,0.56,0.0,0.0,0.472,0.412,0.5,0.75,0.311,0.25,1e-05,7,A,0.496,2
256,Nicolás Giraldo,Once Caldas,1,0.312,0.312,0.188,33.712,0.0,0.242,0.0,0.0,0.496,0.242,0.331,0.0,0.829,0.857,0.0,2.603,1.073,1.436,0.0,0.317,0.0,0.0,1e-05,1e-05,0.267,0.0,0.0,0.0,0.378,0.353,0.0,0.636,0.606,0.302,1e-05,8,D,0.314,2
257,Santiago Roa,Once Caldas,1,-0.926,0.148,0.593,8.006,0.0,0.0,0.0,0.0,0.483,0.189,0.388,0.262,1.281,1.123,0.0,1.09,0.831,1.232,0.0,1.281,0.0,0.0,0.0,0.0,1.143,0.438,1.0,3.5,1.688,1.26,0.0,1.75,1.085,1.694,1e-05,7,D,0.198,4
258,Félix Micolta,Once Caldas,0,-1.0,0.0,1.0,9.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.411,1.077,0.0,0.0,0.0,0.359,0.894,0.7,0.0,0.311,0.188,0.0,0.241,0.386,0.662,28.0,28,DM,0.109,4
259,Sebastián Hernández,Once Caldas,1,0.027,0.324,0.297,29.929,0.27,0.0,0.0,0.0,0.915,0.468,0.27,0.0,0.714,0.712,0.16,1.743,0.716,0.91,0.0,1.124,0.609,0.0,0.0,0.0,0.705,0.308,0.718,0.0,0.902,0.577,0.378,1.448,0.956,0.863,1e-05,14,M,0.597,2
260,Lewis Ochoa,Once Caldas,1,0.2,0.3,0.3,31.651,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,1.3,0.98,0.806,2.326,0.8,1.345,0.0,0.499,0.0,1.286,1e-05,1e-05,0.176,0.0,0.0,0.0,0.521,0.537,3.0,1.185,0.286,0.371,0.0,9,D,0.487,2
261,Harlin Suárez,Once Caldas,1,-0.381,0.286,0.381,11.697,0.0,0.0,0.0,0.0,0.722,0.426,0.294,0.0,0.868,0.825,0.0,0.486,0.868,1.037,0.0,1.616,0.0,0.0,0.0,0.0,0.846,0.463,0.633,0.0,0.866,0.76,0.0,0.393,1.267,1.932,1e-05,18,M,0.326,3
262,Jean Carlos Blanco,Once Caldas,1,0.314,0.429,0.314,32.219,0.318,0.0,0.0,0.0,1.25,0.483,0.377,0.0,1.781,0.966,0.553,0.542,0.838,0.377,0.0,0.319,0.818,0.0,1e-05,1e-05,0.615,0.6,0.346,0.0,0.5,0.184,0.0,0.178,0.238,0.167,1e-05,18,M,0.259,4
263,Enrique Serje,Once Caldas,1,0.0,0.176,0.176,37.927,0.0,0.0,0.0,0.0,0.771,0.322,0.478,0.235,0.876,1.574,0.0,0.235,1.576,1.352,0.0,0.321,0.0,0.0,0.0,0.0,0.121,0.0,1.191,0.0,0.531,0.545,0.0,0.037,0.626,1.133,1e-05,14,M,0.229,4
264,Yesus Cabrera,Once Caldas,1,0.096,0.365,0.385,21.955,0.411,0.361,0.192,0.233,1.55,0.862,0.394,0.0,1.069,1.292,0.361,2.839,1.216,1.144,0.0,1.793,2.786,3.545,3.714,4.875,1.904,2.821,1.3,0.0,1.801,1.736,1.902,2.151,2.035,2.518,1e-05,13,M,0.493,2
265,Diego Peralta,Once Caldas,1,-0.318,0.273,0.5,6.903,0.208,0.0,0.0,0.0,1.013,0.538,0.492,0.287,1.024,0.582,0.208,0.0,1.165,2.194,0.0,0.782,1.143,0.0,1e-05,1e-05,0.909,0.593,1.171,2.0,0.844,0.483,0.0,0.0,1.082,1.306,1e-05,8,D,0.532,1
266,Yonni Hinestroza,Once Caldas,1,0.333,0.424,0.333,14.418,0.171,0.239,0.0,0.0,0.771,0.359,0.409,0.0,0.688,1.249,0.239,1.702,0.904,1.077,0.0,1.44,1.143,2.667,1e-05,1e-05,1.727,1.185,1.366,0.0,0.933,1.987,1.333,2.358,1.035,1.007,1e-05,8,D,0.489,1
267,Luis Alfredo Sierra,Once Caldas,1,0.381,0.429,0.381,29.67,0.0,0.0,0.0,0.0,0.393,0.0,0.452,0.0,0.898,0.547,0.0,0.213,1.075,0.583,0.0,0.519,0.0,0.0,0.0,0.0,0.186,0.0,1.3,0.0,0.791,0.196,0.0,0.032,0.791,0.586,1e-05,13,M,0.203,3
268,Ricardo Steer,Once Caldas,1,0.0,0.405,0.297,24.375,0.429,0.311,0.0,0.0,1.5,0.679,0.412,0.0,1.489,1.272,0.642,0.455,0.538,0.369,0.0,0.93,1.296,2.1,0.0,0.0,0.933,1.282,1.667,0.0,1.492,1.36,1.086,0.252,0.778,0.477,1e-05,7,A,0.219,3
269,Uvaldo Luna,Once Caldas,1,-0.111,0.259,0.37,21.083,0.509,0.258,0.0,0.0,1.614,0.673,0.258,0.0,0.618,0.871,0.44,3.317,0.186,0.467,0.0,1.104,3.719,0.0,0.0,0.0,1.997,1.67,0.596,0.0,0.469,0.918,1.417,2.783,0.079,0.316,1e-05,17,AM,0.179,3
270,Jáider Riquett,Alianza,1,-0.5,0.0,0.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.349,0.0,0.0,1e-05,1e-05,0.761,0.875,0.5,0.0,0.309,0.0,0.0,0.0,0.108,0.636,1e-05,7,D,0.53,1
271,Pablo Bueno,Alianza,1,-0.444,0.185,0.481,26.648,0.388,0.189,0.0,0.189,1.365,0.823,0.438,0.0,1.257,1.191,0.416,0.262,0.569,0.262,0.0,1.232,1.8,0.857,0.0,3.0,1.778,2.195,1.8,1e-05,1.955,1.62,0.828,0.052,0.894,0.4,0.0,6,A,0.337,2
272,Hanyer Mosquera,Alianza,1,-1.0,0.143,0.571,22.789,0.258,0.258,0.0,0.0,0.41,0.41,0.61,0.35,0.845,0.589,0.0,0.258,0.5,1.88,0.0,1.174,4.5,4.5,1e-05,1e-05,0.519,1.5,1.286,4.5,0.906,1.406,0.0,0.083,0.677,1.204,1e-05,9,D,0.156,4
273,Mateo Palacios,Alianza,1,-1.115,0.154,0.692,29.465,0.361,0.0,0.0,0.0,1.621,0.625,0.504,0.192,1.063,0.8,0.266,2.257,0.455,0.97,0.0,1.138,4.0,0.0,1e-05,1e-05,2.032,2.045,1.184,3.0,0.785,0.938,0.529,2.546,0.297,1.041,1e-05,9,AM,0.161,4
274,César Hinestroza,Alianza,1,-0.038,0.308,0.346,21.388,0.192,0.266,0.0,0.0,0.689,0.455,0.421,0.192,1.525,0.98,0.192,2.09,0.917,0.98,0.0,1.602,3.0,4.8,1e-05,1e-05,1.148,1.778,2.057,3.0,2.437,2.83,1.714,3.77,1.942,1.435,1e-05,12,D,1.0,1
275,Hayen Palacios,Alianza,1,0.25,0.5,0.5,20.364,0.433,0.0,0.0,0.0,0.5,0.433,0.0,0.0,0.829,1.299,0.0,0.433,0.0,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.251,0.286,0.295,0.0,0.424,0.412,0.0,0.276,0.359,0.213,1e-05,18,M,0.46,2
276,Julián Zea,Alianza,1,-0.5,0.0,0.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.359,1.0,0.812,0.0,0.0,0.591,0.707,0.224,0.0,0.545,0.393,1.368,0.583,0.399,0.057,1e-05,13,M,0.406,3
277,Henry Obando,Alianza,1,0.0,0.412,0.353,23.131,0.0,0.0,0.0,0.0,0.424,0.235,0.424,0.0,1.516,1.162,0.381,1.49,0.696,1.643,0.0,0.719,0.0,0.0,1e-05,1e-05,0.261,0.312,0.732,0.0,0.877,1.071,2.727,1.436,0.368,0.867,0.0,10,D,0.331,3
278,Romeesh Ivey,Alianza,1,0.308,0.385,0.231,29.823,0.266,0.0,0.0,0.0,1.35,1.136,0.0,0.0,0.634,1.25,0.266,1.73,0.606,1.066,0.0,0.75,0.727,0.0,0.0,0.0,0.893,1.554,0.0,0.0,0.261,0.706,0.343,0.772,0.324,1.029,1e-05,24,AM,0.278,3
279,José Erick Correa,Alianza,1,-0.143,0.286,0.429,36.86,0.258,0.0,0.0,0.0,1.552,0.41,0.0,0.0,0.958,0.589,0.904,0.41,0.452,0.0,0.0,0.32,0.357,0.0,0.0,0.0,0.471,0.363,0.0,0.0,0.419,0.185,1.552,0.089,0.276,0.0,1e-05,15,AM,0.339,3
280,Hárrison Henao,Alianza,1,0.28,0.44,0.32,33.114,0.0,0.0,0.0,0.0,0.743,0.266,0.266,0.0,0.948,0.796,0.0,0.423,0.689,1.372,0.0,0.733,0.0,0.0,0.0,0.0,0.379,0.479,0.23,0.0,0.343,0.365,0.0,0.124,0.238,1.235,1e-05,17,M,0.385,3
281,Harold Rivera,Alianza,1,-0.44,0.24,0.44,31.35,0.0,0.0,0.0,0.0,1.131,0.367,0.48,0.0,1.261,1.451,0.271,2.843,0.632,1.394,0.0,0.608,0.0,0.0,0.0,0.0,1.228,0.785,0.913,0.0,1.108,0.983,0.0,0.924,0.649,0.95,1e-05,28,DM,0.227,3
282,Yonatan Murillo,Boyacá Patriot,1,-0.182,0.091,0.273,5.175,0.0,0.287,0.0,0.0,0.481,0.0,0.287,0.0,1.128,0.953,0.0,0.0,1.135,1.076,0.0,0.852,0.0,1.75,1e-05,1e-05,0.549,0.0,0.438,1e-05,0.748,1.222,0.0,0.0,1.101,1.118,1e-05,7,D,0.938,1
283,Jorge Posada,Boyacá Patriot,1,-0.3,0.3,0.5,28.609,0.3,0.0,0.0,0.0,0.663,0.4,0.0,0.0,0.8,0.3,0.3,1.327,0.49,0.663,0.0,0.286,0.9,0.0,0.0,0.0,0.283,0.434,0.0,0.0,0.408,0.054,0.486,0.584,0.377,0.309,1e-05,18,DM,0.904,1
284,Edgardo Rito,Boyacá Patriot,0,-0.5,0.333,0.667,29.217,0.0,0.0,0.0,0.0,0.373,0.276,0.433,0.0,0.943,1.0,0.276,1.027,1.143,1.0,0.0,1.031,0.0,0.0,1e-05,1e-05,0.471,0.8,1.412,1e-05,0.736,1.315,4.0,1.707,1.053,0.696,0.0,8,D,0.737,2
285,Kevin Aladesanmi,Boyacá Patriot,1,-1.0,0.143,0.571,20.9,0.0,0.0,0.0,0.0,1.355,0.35,0.0,0.0,0.728,0.0,0.452,0.452,0.452,0.35,0.35,0.451,0.0,0.0,0.0,0.0,0.944,0.675,0.8,0.0,0.45,0.785,0.333,0.922,0.336,0.525,1e-05,14,AM,0.559,2
286,Michael Ordoñez,Boyacá Patriot,1,-0.385,0.154,0.538,19.148,0.0,0.0,0.0,0.0,1.099,0.836,0.361,0.0,0.555,0.625,0.266,2.371,1.167,0.863,0.0,1.001,0.0,0.0,0.0,0.0,0.865,1.391,0.727,1e-05,0.843,0.347,0.387,3.051,1.417,1.138,1e-05,12,M,0.407,3
287,Darwin López,Boyacá Patriot,1,-0.4,0.067,0.333,28.505,0.249,0.0,0.0,0.0,1.454,0.471,0.249,0.0,0.884,0.884,0.34,1.454,0.442,0.249,0.0,0.679,0.684,0.0,0.0,0.0,1.3,0.89,0.283,1e-05,0.507,0.801,0.703,1.107,0.477,0.135,0.0,13,AM,0.257,3
288,Hector Solano,Boyacá Patriot,1,-0.75,0.25,0.625,27.731,0.0,0.0,0.0,0.0,0.707,0.331,0.433,0.0,1.0,0.433,0.0,0.433,0.484,0.992,0.0,0.521,0.0,0.0,0.0,0.0,0.381,0.312,0.0,0.0,0.197,0.288,0.0,0.362,0.633,0.156,1e-05,10,M,0.204,4
289,Almir Soto,Boyacá Patriot,1,-0.083,0.25,0.333,30.092,0.276,0.0,0.0,0.0,0.64,0.373,0.433,0.0,1.572,0.471,0.0,0.433,1.599,0.862,0.0,0.621,0.727,0.0,1e-05,1e-05,0.567,0.395,0.229,0.0,0.733,0.266,0.0,0.099,0.981,0.861,1e-05,16,M,0.39,2
290,Óscar Iván Balanta,Boyacá Patriot,1,-0.682,0.182,0.545,16.554,0.0,0.0,0.0,0.0,0.445,0.208,0.343,0.0,0.651,0.905,0.0,0.343,0.996,0.849,0.0,1.789,0.0,0.0,0.0,0.0,0.565,0.354,0.829,0.0,0.51,1.508,0.0,0.15,1.726,1.472,1e-05,29,DM,0.381,3
291,Daniel Briceño,Boyacá Patriot,1,-1.5,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.57,0.0,3.5,1e-05,1e-05,0.56,0.875,0.512,0.0,0.655,0.368,1.4,2.13,0.726,0.524,7.0,7,D,0.211,3
292,Felipe Ávila,Boyacá Patriot,1,-0.273,0.318,0.364,27.469,0.0,0.0,0.0,0.0,1.124,0.386,0.287,0.0,1.099,0.582,0.208,0.967,2.231,0.762,0.0,1.131,0.0,0.0,0.0,0.0,1.56,0.917,0.506,0.0,0.946,0.582,0.344,1.158,2.505,1.187,1e-05,22,AM,0.906,1
293,Omar Sebastián Pérez,Boyacá Patriot,1,0.206,0.353,0.176,24.176,0.235,0.354,0.0,0.0,0.652,0.489,0.373,0.169,0.723,0.543,0.284,1.982,0.424,0.452,0.0,0.864,0.759,5.176,0.0,0.0,0.727,1.073,0.835,3.143,0.403,0.641,0.677,2.265,0.327,0.485,1e-05,22,AM,0.589,1
294,Diego Álvarez,Boyacá Patriot,1,-0.24,0.28,0.4,29.304,0.463,0.196,0.271,0.325,0.991,0.632,0.325,0.196,1.395,1.093,0.849,0.614,0.325,0.463,0.0,0.971,1.077,0.7,4.667,5.25,0.948,0.814,1.05,3.5,1.095,0.982,1.228,0.326,0.263,0.549,1e-05,7,A,0.53,2
295,Davinson Monsalve,Boyacá Patriot,1,-0.48,0.32,0.48,23.694,0.196,0.196,0.0,0.0,0.4,0.271,0.427,0.0,0.8,0.7,0.196,0.431,0.748,1.723,0.0,0.866,1.286,1.0,1e-05,1e-05,0.562,0.9,0.818,0.0,0.763,0.677,1.0,0.061,0.705,1.167,0.0,9,D,0.569,2
296,Esneyder Mena,Boyacá Patriot,1,0.2,0.2,0.2,11.775,0.0,0.0,0.0,0.0,0.49,0.4,0.4,0.0,0.98,0.0,0.4,0.8,0.4,0.8,0.0,0.214,0.0,0.0,0.0,0.0,0.19,0.348,0.289,0.0,0.182,0.177,0.0,0.0,0.532,0.09,1e-05,13,M,0.095,4
