,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,Fabián Sambueza,Junior,1,0.708,0.542,0.167,1,21.677,0.433,0.538,0.2,0.276,1.136,0.707,0.331,0.2,1.434,1.67,0.2,3.223,0.789,0.763,0.0,0.0,0.0,1.785,3.056,4.529,3.667,5.5,1.741,1.93,1.0,0.0,1.406,3.754,1.1,3.571,1.361,1.784,1e-05,0,0,11,['MF'],0.632,1
1,Juan David Rodríguez,Junior,1,0.167,0.389,0.167,1,11.654,0.0,0.488,0.0,0.0,1.163,0.678,0.482,0.0,0.976,1.124,0.365,1.723,0.67,0.752,0.0,0.0,0.0,1.71,0.0,3.667,1e-05,1e-05,1.533,2.34,2.2,0.0,1.571,1.261,1.65,1.167,1.571,0.907,1e-05,0,0,11,['MF'],0.401,2
2,Homer Martínez,Junior,1,-0.4,0.3,0.4,1,9.855,0.0,0.0,0.0,0.0,0.872,0.536,0.433,0.0,1.284,1.005,0.357,0.477,1.284,1.717,0.0,0.0,0.0,1.8,0.0,0.0,1e-05,0.0,1.28,1.233,1.667,0.0,1.851,0.966,2.455,0.167,2.691,2.519,1e-05,0,0,18,"['DF', 'MF']",0.38,3
3,Walmer Pacheco,Junior,1,0.234,0.468,0.277,1,8.211,0.202,0.144,0.0,0.0,0.792,0.393,0.517,0.144,1.357,1.619,0.0,1.116,0.967,1.358,0.0,0.0,0.0,1.674,0.762,0.0,0.0,0.0,0.988,1.103,2.667,5.333,2.0,3.847,0.0,1.664,2.688,2.261,1e-05,0,0,16,"['DF', 'MF']",0.341,3
4,John Pajoy,Junior,1,0.35,0.5,0.25,1,14.084,0.536,0.51,0.218,0.218,1.643,0.98,0.3,0.0,0.98,1.09,0.572,2.897,0.477,0.357,0.0,0.0,0.0,1.372,2.609,3.0,3.0,1.714,2.182,2.71,0.8,0.0,0.939,1.395,2.4,4.13,0.867,0.493,1e-05,0,0,12,"['FW', 'MF']",0.232,4
5,Edwin Velasco,Junior,1,0.423,0.423,0.269,1,15.751,0.0,0.192,0.0,0.0,0.421,0.0,0.538,0.192,1.687,1.315,0.385,1.549,0.958,1.413,0.0,0.0,0.0,1.513,0.0,8.0,1e-05,1e-05,0.8,0.0,1.739,8.0,2.079,2.588,5.333,3.545,1.818,1.283,1e-05,0,0,8,['DF'],0.186,4
6,Fabián Viáfara,Junior,1,0.261,0.37,0.283,1,9.635,0.144,0.244,0.0,0.0,1.062,0.482,0.334,0.0,1.213,0.747,0.144,2.117,1.031,1.22,0.0,0.0,0.0,2.572,1.091,4.5,0.0,0.0,3.476,3.13,1.304,1e-05,2.932,2.104,1.714,6.417,2.924,2.118,1e-05,0,0,12,['DF'],0.947,1
7,Didier Moreno,Junior,1,0.087,0.348,0.348,1,24.569,0.282,0.204,0.0,0.0,0.651,0.379,0.5,0.0,1.409,1.285,0.48,0.0,1.176,1.176,0.0,0.0,0.0,1.321,1.9,0.679,0.0,0.0,0.719,0.717,1.966,0.0,1.823,1.009,2.621,0.0,2.189,2.157,0.0,0,0,19,['MF'],0.519,2
8,Miguel Borja,Junior,0,1.0,0.5,0.071,0,28.947,0.41,0.35,0.0,0.0,1.592,0.811,0.258,0.0,0.884,0.799,0.452,0.589,0.623,0.258,0.0,0.0,0.0,0.347,0.25,0.75,1e-05,1e-05,0.44,0.387,0.6,1e-05,0.482,0.314,0.2,0.923,0.316,0.0,1e-05,0,0,3,['FW'],0.642,2
9,Daniel Rosero,Junior,1,0.085,0.404,0.34,1,7.132,0.305,0.0,0.0,0.0,0.918,0.479,0.479,0.2,1.172,0.905,0.242,0.0,1.19,1.397,0.0,0.0,0.0,2.052,5.714,0.0,1e-05,1e-05,2.24,2.703,1.569,0.0,1.614,2.062,3.75,0.0,1.48,2.347,0.0,0,0,10,['DF'],0.475,3
10,Sherman Cárdenas,Junior,1,-0.237,0.289,0.421,1,7.516,0.365,0.307,0.223,0.223,1.614,0.978,0.388,0.0,0.666,1.291,0.223,2.575,0.638,0.779,0.0,0.0,0.0,2.383,3.0,3.733,9.333,9.333,3.547,4.2,1.719,0.0,1.175,3.411,0.683,5.39,1.813,1.014,1e-05,0,0,14,['MF'],0.433,3
11,Carmelo Valencia,Junior,1,-0.244,0.244,0.39,1,26.516,0.585,0.154,0.154,0.215,1.238,0.862,0.353,0.0,1.637,1.021,1.024,0.455,0.62,0.396,0.0,0.0,0.0,0.831,1.636,0.0,2.0,1.2,0.79,1.079,0.621,1e-05,1.062,0.531,1.333,0.158,0.594,0.37,1e-05,0,0,6,['FW'],0.377,4
12,Fredy Hinestroza,Junior,1,-0.105,0.368,0.289,1,14.236,0.354,0.338,0.0,0.0,1.568,1.113,0.518,0.223,1.515,1.822,0.521,2.535,0.809,0.465,0.0,0.0,0.0,2.021,2.118,2.25,0.0,0.0,3.734,3.758,1.818,12.0,1.693,2.571,3.692,4.0,1.546,0.873,0.0,0,0,12,['MF'],0.605,1
13,Michael Rangel,Junior,1,0.183,0.483,0.317,1,18.218,0.645,0.401,0.3,0.321,1.971,0.966,0.433,0.0,1.408,1.578,0.737,0.3,0.551,0.44,0.0,0.0,0.0,1.845,3.214,2.143,6.0,4.0,1.909,1.871,1.8,0.0,1.727,1.841,2.0,0.167,0.787,0.806,1e-05,0,0,6,['FW'],0.409,2
14,Róger Torres,Junior,1,-0.026,0.385,0.436,1,27.748,0.266,0.303,0.221,0.221,1.136,0.66,0.426,0.158,0.833,1.106,0.0,3.708,0.514,0.492,0.0,0.0,0.0,1.49,1.8,2.857,10.0,10.0,1.89,2.692,1.19,3.75,1.138,1.325,0.0,3.428,0.933,0.738,0.0,0,0,15,['MF'],0.17,3
15,Luis Carlos Ruiz,Junior,1,0.483,0.483,0.379,1,34.344,0.496,0.249,0.18,0.18,1.556,0.92,0.34,0.0,1.086,1.389,0.34,0.9,0.496,0.4,0.0,0.0,0.0,0.926,1.029,1.333,0.75,0.667,0.818,1.103,0.857,0.0,1.107,1.462,0.321,0.529,0.769,0.6,1e-05,0,0,6,['FW'],0.348,3
